Date,Open,High,Low,Close,Volume
2012-08-31,67.0664,67.2294,66.2745,67.2036,34587840.378353
2012-09-30,67.1681,67.3517,66.626,67.3212,33905949.105919
2012-10-31,67.3052,67.4051,66.9362,67.253,31524600.084054
2012-11-30,67.2748,67.567,67.1512,67.4279,29292527.469016
2012-12-31,67.3786,67.6509,66.9736,67.3212,37216416.13878
2013-01-31,67.1247,67.3212,66.698,66.8599,36915841.026727
2013-02-28,66.9855,67.2778,66.6734,67.2105,31661907.765415
2013-03-31,67.2618,67.2984,66.6734,67.2738,33963501.065114
2013-04-30,67.0911,67.8781,67.0911,67.8188,28278504.318052
2013-05-31,67.8831,67.956,66.3454,66.5114,30378516.898346
2013-06-30,66.3968,66.6486,64.5355,65.84,44405199.84749
2013-07-31,65.3708,65.8815,64.74,65.6662,39058899.094237
2013-08-31,65.4597,65.7827,64.647,65.526,25633648.903627
2013-09-30,65.0213,66.2705,64.412,66.2606,24524451.144469
2013-10-31,65.7807,66.788,65.6335,66.6823,31028888.873026
2013-11-30,66.3425,66.3663,65.7491,66.3376,34886608.890336
2013-12-31,66.0779,66.1441,65.5041,65.6265,43131385.783596
2014-01-31,65.6739,66.6754,65.6188,66.6466,55310939.655578
2014-02-28,66.6486,67.006,66.3802,66.9576,52551153.489028
2014-03-31,67.0494,67.1217,66.5322,66.8441,53076378.914771
2014-04-30,66.7929,67.3951,66.6052,67.3786,46510459.061733
2014-05-31,67.4021,68.3136,67.3766,68.0913,31536086.779457
2014-06-30,68.0164,68.1595,67.6343,68.1436,36222070.143629
2014-07-31,68.0449,68.3481,67.6943,67.959,36117488.860516
2014-08-31,68.0668,68.7828,67.9709,68.7334,64581209.179847
2014-09-30,68.6009,68.6109,67.9057,68.3411,67800288.983585
2014-10-31,68.5101,70.264,68.4697,68.8341,85594165.488887
2014-11-30,68.8467,69.4295,68.684,69.4056,39848155.474667
2014-12-31,69.4878,69.6358,68.8696,69.309,95446319.224739
2015-01-31,69.3564,70.974,69.3475,70.974,84914653.986725
2015-02-28,70.7735,70.974,69.5005,70.0417,68613210.407202
2015-03-31,70.0969,70.6214,69.2961,70.4219,69798963.857012
2015-04-30,70.4445,70.6914,69.7721,70.0565,57658223.531834
2015-05-31,69.8935,69.9518,69.2062,69.7128,62943135.326081
2015-06-30,69.7257,69.7257,68.5655,68.9358,54535575.057529
2015-07-31,68.7421,69.5558,68.7076,69.539,47086782.712226
2015-08-31,69.5903,70.2136,69.2566,69.3702,52203077.149675
2015-09-30,69.471,69.937,69.1383,69.9292,43715060.39256
2015-10-31,70.0378,70.419,69.7651,69.9488,38946331.909691
2015-11-30,69.7988,69.8808,69.2042,69.6773,43752884.562532
2015-12-31,69.7118,69.9459,69.2901,69.5529,57922235.245826
2016-01-31,69.5786,70.4495,69.5015,70.3863,61812724.193449
2016-02-29,70.3547,71.2722,70.2016,70.9916,48483354.44077
2016-03-31,71.0638,71.7115,70.6154,71.6097,46296371.890046
2016-04-30,71.6257,72.0582,71.4459,71.9041,47777921.67067
2016-05-31,71.8844,72.3001,71.6523,71.913,44965925.369685
2016-06-30,71.9949,73.4485,71.8755,73.3784,45899749.24981
2016-07-31,73.6174,74.0341,73.1906,73.7932,45280776.065367
2016-08-31,73.5927,73.804,73.2727,73.5681,59361287.39273
