Date,Open,High,Low,Close,Volume
2008-06-30,38.4476,39.8307,37.9375,38.1543,86425.738336443
2008-07-31,37.8354,38.2701,35.6901,37.1282,963762.88684671
2008-08-31,37.1125,38.5251,35.537,36.4474,933375.95525662
2008-09-30,36.4474,38.9715,27.6078,33.1258,2092521.8478089
2008-10-31,32.031,32.9864,22.335,26.0225,4649221.9404281
2008-11-30,26.6877,27.7166,20.4849,24.2508,3853141.2146082
2008-12-31,23.8152,26.6954,22.1428,25.4005,6779581.4254191
2009-01-31,25.4005,26.7611,21.8495,22.642,3285141.3782767
2009-02-28,22.335,24.2508,20.2543,20.4849,2693507.0352891
2009-03-31,20.2013,23.4532,18.7602,22.2986,3780805.4547493
2009-04-30,21.7885,25.4084,21.7885,24.9855,2268613.9583684
2009-05-31,25.2122,27.6322,24.8865,27.6322,2727814.5324431
2009-06-30,27.695,28.6878,26.2775,27.1556,2025931.3577156
2009-07-31,27.592,30.0897,25.7556,29.9082,4011727.378098
2009-08-31,30.4692,31.4228,29.1272,30.7077,4426394.9757748
2009-09-30,30.6595,33.1179,29.8277,32.3135,3758426.8338899
2009-10-31,32.1997,33.9332,30.8076,31.5003,5883586.4216002
2009-11-30,31.6759,36.5297,31.2903,33.1758,4202844.245768
2009-12-31,33.7958,34.2804,32.7726,33.1856,4057444.8831453
2010-01-31,33.6781,34.6032,31.3443,31.4963,8360592.8130603
2010-02-28,31.8084,32.6333,30.2132,32.1438,3541164.7073578
2010-03-31,32.2713,34.4246,32.2576,34.2882,6093811.7139961
2010-04-30,34.6434,35.8489,33.7349,34.1333,3385495.0124271
2010-05-31,34.2715,34.5482,29.2136,30.7607,4853127.0283267
2010-06-30,30.4908,32.6108,29.6031,29.9013,2241926.3851848
2010-07-31,30.0455,33.0316,29.506,32.647,2190038.5256502
2010-08-31,33.2573,33.6388,30.8686,31.3443,1904336.7395154
2010-09-30,31.9918,34.9121,31.923,34.4963,2268226.590996
2010-10-31,34.8042,36.2217,34.2882,35.8068,2440084.1645423
2010-11-30,35.8489,37.2439,34.6796,34.8572,2465427.1651884
